ts,bpm,device
1764170139893,80,Apple Watch (Apple Watch)
1764170144332,80,Apple Watch (Apple Watch)
1764170149333,80,Apple Watch (Apple Watch)
1764170153404,80,Apple Watch (Apple Watch)
1764170163634,81,Apple Watch (Apple Watch)
1764170168752,77,Apple Watch (Apple Watch)
1764170173869,78,Apple Watch (Apple Watch)
1764170178987,80,Apple Watch (Apple Watch)
1764170184104,79,Apple Watch (Apple Watch)
1764170194344,77,Apple Watch (Apple Watch)
1764170199349,78,Apple Watch (Apple Watch)
1764170204347,77,Apple Watch (Apple Watch)
1764170214356,80,Apple Watch (Apple Watch)
1764170219346,81,Apple Watch (Apple Watch)
1764170224350,80,Apple Watch (Apple Watch)
1764170229346,80,Apple Watch (Apple Watch)
1764170234333,80,Apple Watch (Apple Watch)
1764170254333,80,Apple Watch (Apple Watch)
1764170263443,80,Apple Watch (Apple Watch)
1764170274892,80,Apple Watch (Apple Watch)
1764170279892,79,Apple Watch (Apple Watch)
1764170283912,79,Apple Watch (Apple Watch)
1764170294150,80,Apple Watch (Apple Watch)
1764170304316,79,Apple Watch (Apple Watch)
1764170309322,80,Apple Watch (Apple Watch)
1764170314350,81,Apple Watch (Apple Watch)
1764170319739,80,Apple Watch (Apple Watch)
1764170324346,80,Apple Watch (Apple Watch)
1764170329895,78,Apple Watch (Apple Watch)
1764170334436,78,Apple Watch (Apple Watch)
1764170339892,77,Apple Watch (Apple Watch)
1764170344346,78,Apple Watch (Apple Watch)
1764170349891,79,Apple Watch (Apple Watch)
1764170354334,76,Apple Watch (Apple Watch)
1764170359332,76,Apple Watch (Apple Watch)
1764170364333,77,Apple Watch (Apple Watch)
1764170369892,78,Apple Watch (Apple Watch)
1764170373480,78,Apple Watch (Apple Watch)
1764170383714,76,Apple Watch (Apple Watch)
1764170389891,75,Apple Watch (Apple Watch)
1764170393963,74,Apple Watch (Apple Watch)
1764170404192,76,Apple Watch (Apple Watch)
1764170409309,76,Apple Watch (Apple Watch)
1764170414320,76,Apple Watch (Apple Watch)
1764170419545,76,Apple Watch (Apple Watch)
1764170424318,77,Apple Watch (Apple Watch)
1764170434349,77,Apple Watch (Apple Watch)
1764170439892,77,Apple Watch (Apple Watch)
1764170444895,77,Apple Watch (Apple Watch)
1764170449346,76,Apple Watch (Apple Watch)
1764170454346,76,Apple Watch (Apple Watch)
1764170459892,77,Apple Watch (Apple Watch)
1764170469892,76,Apple Watch (Apple Watch)
1764170474332,76,Apple Watch (Apple Watch)
1764170478416,76,Apple Watch (Apple Watch)
1764170488639,77,Apple Watch (Apple Watch)
1764170494892,78,Apple Watch (Apple Watch)
1764170498875,77,Apple Watch (Apple Watch)
1764170509114,77,Apple Watch (Apple Watch)
1764170514233,77,Apple Watch (Apple Watch)
1764170519348,76,Apple Watch (Apple Watch)
1764170524315,76,Apple Watch (Apple Watch)
1764170529317,75,Apple Watch (Apple Watch)
1764170539349,76,Apple Watch (Apple Watch)
1764170544892,76,Apple Watch (Apple Watch)
1764170549353,75,Apple Watch (Apple Watch)
1764170554348,75,Apple Watch (Apple Watch)
1764170559891,76,Apple Watch (Apple Watch)
1764170564346,76,Apple Watch (Apple Watch)
1764170569892,76,Apple Watch (Apple Watch)
1764170574350,76,Apple Watch (Apple Watch)
1764170579330,75,Apple Watch (Apple Watch)
1764170584891,75,Apple Watch (Apple Watch)
1764170588445,74,Apple Watch (Apple Watch)
1764170593555,75,Apple Watch (Apple Watch)
1764170598666,75,Apple Watch (Apple Watch)
1764170604887,75,Apple Watch (Apple Watch)
1764170608896,76,Apple Watch (Apple Watch)
1764170619127,76,Apple Watch (Apple Watch)
1764170624248,75,Apple Watch (Apple Watch)
1764170634286,75,Apple Watch (Apple Watch)
1764170639286,77,Apple Watch (Apple Watch)
1764170644285,77,Apple Watch (Apple Watch)
1764170649318,77,Apple Watch (Apple Watch)
1764170654318,77,Apple Watch (Apple Watch)
1764170664318,78,Apple Watch (Apple Watch)
1764170669863,76,Apple Watch (Apple Watch)
1764170674863,76,Apple Watch (Apple Watch)
1764170679314,75,Apple Watch (Apple Watch)
1764170684304,74,Apple Watch (Apple Watch)
1764170689299,76,Apple Watch (Apple Watch)
1764170693344,76,Apple Watch (Apple Watch)
1764170698451,76,Apple Watch (Apple Watch)
1764170708689,77,Apple Watch (Apple Watch)
1764170718938,77,Apple Watch (Apple Watch)
1764170729164,75,Apple Watch (Apple Watch)
1764170734276,75,Apple Watch (Apple Watch)
1764170739312,75,Apple Watch (Apple Watch)
1764170744517,75,Apple Watch (Apple Watch)
1764170754287,76,Apple Watch (Apple Watch)
1764170759321,76,Apple Watch (Apple Watch)
1764170764316,76,Apple Watch (Apple Watch)
1764170769862,75,Apple Watch (Apple Watch)
1764170774321,75,Apple Watch (Apple Watch)
1764170784863,76,Apple Watch (Apple Watch)
1764170789862,76,Apple Watch (Apple Watch)
1764170799301,75,Apple Watch (Apple Watch)
1764170804863,76,Apple Watch (Apple Watch)
1764170808493,76,Apple Watch (Apple Watch)
1764170813610,75,Apple Watch (Apple Watch)
1764170819861,75,Apple Watch (Apple Watch)
1764170823845,75,Apple Watch (Apple Watch)
1764170828965,75,Apple Watch (Apple Watch)
1764170834085,75,Apple Watch (Apple Watch)
1764170839200,75,Apple Watch (Apple Watch)
1764170844286,74,Apple Watch (Apple Watch)
1764170849436,74,Apple Watch (Apple Watch)
1764170854287,74,Apple Watch (Apple Watch)
1764170859285,74,Apple Watch (Apple Watch)
1764170864791,75,Apple Watch (Apple Watch)
1764170869321,74,Apple Watch (Apple Watch)
1764170874318,74,Apple Watch (Apple Watch)
1764170879317,74,Apple Watch (Apple Watch)
1764170884862,74,Apple Watch (Apple Watch)
1764170889862,74,Apple Watch (Apple Watch)
1764170894863,74,Apple Watch (Apple Watch)
1764170899301,73,Apple Watch (Apple Watch)
1764170904304,73,Apple Watch (Apple Watch)
1764170908307,73,Apple Watch (Apple Watch)
1764170914862,74,Apple Watch (Apple Watch)
1764170918530,74,Apple Watch (Apple Watch)
1764170923646,74,Apple Watch (Apple Watch)
1764170928766,73,Apple Watch (Apple Watch)
1764170933883,72,Apple Watch (Apple Watch)
1764170939000,73,Apple Watch (Apple Watch)
1764170949236,74,Apple Watch (Apple Watch)
1764170954287,74,Apple Watch (Apple Watch)
1764170959287,74,Apple Watch (Apple Watch)
1764170964593,75,Apple Watch (Apple Watch)
1764170969319,74,Apple Watch (Apple Watch)
1764170974319,74,Apple Watch (Apple Watch)
1764170979312,74,Apple Watch (Apple Watch)
1764170984321,74,Apple Watch (Apple Watch)
1764170989862,73,Apple Watch (Apple Watch)
1764170994319,74,Apple Watch (Apple Watch)
1764170999862,75,Apple Watch (Apple Watch)
1764171004308,74,Apple Watch (Apple Watch)
1764171009301,75,Apple Watch (Apple Watch)
1764171014904,74,Apple Watch (Apple Watch)
1764171018344,74,Apple Watch (Apple Watch)
1764171024861,74,Apple Watch (Apple Watch)
1764171028566,74,Apple Watch (Apple Watch)
1764171034861,73,Apple Watch (Apple Watch)
1764171038805,73,Apple Watch (Apple Watch)
1764171049040,75,Apple Watch (Apple Watch)
1764171054160,75,Apple Watch (Apple Watch)
1764171059274,74,Apple Watch (Apple Watch)
1764171064286,74,Apple Watch (Apple Watch)
1764171069318,75,Apple Watch (Apple Watch)
1764171079316,75,Apple Watch (Apple Watch)
1764171084315,75,Apple Watch (Apple Watch)
1764171089315,75,Apple Watch (Apple Watch)
1764171094861,74,Apple Watch (Apple Watch)
1764171099315,74,Apple Watch (Apple Watch)
1764171104862,74,Apple Watch (Apple Watch)
1764171109302,73,Apple Watch (Apple Watch)
1764171114304,73,Apple Watch (Apple Watch)
1764171119298,73,Apple Watch (Apple Watch)
1764171124299,73,Apple Watch (Apple Watch)
1764171128376,73,Apple Watch (Apple Watch)
1764171134860,73,Apple Watch (Apple Watch)
1764171138603,73,Apple Watch (Apple Watch)
1764171144859,74,Apple Watch (Apple Watch)
1764171149860,72,Apple Watch (Apple Watch)
1764171153955,72,Apple Watch (Apple Watch)
1764171159075,73,Apple Watch (Apple Watch)
1764171164194,72,Apple Watch (Apple Watch)
1764171169314,72,Apple Watch (Apple Watch)
1764171174319,72,Apple Watch (Apple Watch)
1764171179315,72,Apple Watch (Apple Watch)
1764171184665,74,Apple Watch (Apple Watch)
1764171189781,73,Apple Watch (Apple Watch)
1764171194315,73,Apple Watch (Apple Watch)
1764171199313,74,Apple Watch (Apple Watch)
1764171204302,73,Apple Watch (Apple Watch)
1764171209860,73,Apple Watch (Apple Watch)
1764171214860,72,Apple Watch (Apple Watch)
1764171219299,72,Apple Watch (Apple Watch)
1764171229298,74,Apple Watch (Apple Watch)
1764171234306,76,Apple Watch (Apple Watch)
1764171239859,76,Apple Watch (Apple Watch)
1764171243517,76,Apple Watch (Apple Watch)
1764171253753,77,Apple Watch (Apple Watch)
1764171258871,77,Apple Watch (Apple Watch)
1764171263992,75,Apple Watch (Apple Watch)
1764171269112,75,Apple Watch (Apple Watch)
1764171274237,73,Apple Watch (Apple Watch)
1764171284313,73,Apple Watch (Apple Watch)
1764171289316,72,Apple Watch (Apple Watch)
1764171294312,72,Apple Watch (Apple Watch)
1764171299334,72,Apple Watch (Apple Watch)
1764171304298,73,Apple Watch (Apple Watch)
1764171309297,75,Apple Watch (Apple Watch)
1764171314302,75,Apple Watch (Apple Watch)
1764171319298,76,Apple Watch (Apple Watch)
1764171324301,76,Apple Watch (Apple Watch)
1764171329859,73,Apple Watch (Apple Watch)
1764171334297,73,Apple Watch (Apple Watch)
1764171339859,73,Apple Watch (Apple Watch)
1764171343328,73,Apple Watch (Apple Watch)
1764171349859,74,Apple Watch (Apple Watch)
1764171353555,74,Apple Watch (Apple Watch)
1764171358674,76,Apple Watch (Apple Watch)
1764171363789,74,Apple Watch (Apple Watch)
1764171368909,73,Apple Watch (Apple Watch)
1764171374028,74,Apple Watch (Apple Watch)
1764171384261,74,Apple Watch (Apple Watch)
1764171389312,74,Apple Watch (Apple Watch)
1764171394498,74,Apple Watch (Apple Watch)
1764171404299,74,Apple Watch (Apple Watch)
1764171409300,74,Apple Watch (Apple Watch)
1764171414297,74,Apple Watch (Apple Watch)
1764171419299,74,Apple Watch (Apple Watch)
1764171424299,74,Apple Watch (Apple Watch)
1764171429296,74,Apple Watch (Apple Watch)
1764171434914,73,Apple Watch (Apple Watch)
1764171439282,72,Apple Watch (Apple Watch)
1764171444281,74,Apple Watch (Apple Watch)
1764171453363,74,Apple Watch (Apple Watch)
1764171459857,76,Apple Watch (Apple Watch)
1764171464859,75,Apple Watch (Apple Watch)
1764171468706,73,Apple Watch (Apple Watch)
1764171473826,74,Apple Watch (Apple Watch)
1764171478954,73,Apple Watch (Apple Watch)
1764171484061,73,Apple Watch (Apple Watch)
1764171494297,73,Apple Watch (Apple Watch)
1764171499413,74,Apple Watch (Apple Watch)
1764171504297,74,Apple Watch (Apple Watch)
1764171509298,75,Apple Watch (Apple Watch)
1764171514299,74,Apple Watch (Apple Watch)
1764171519295,75,Apple Watch (Apple Watch)
1764171529296,75,Apple Watch (Apple Watch)
1764171534298,75,Apple Watch (Apple Watch)
1764171539281,74,Apple Watch (Apple Watch)
1764171544282,74,Apple Watch (Apple Watch)
1764171549857,75,Apple Watch (Apple Watch)
1764171554283,75,Apple Watch (Apple Watch)
1764171559857,75,Apple Watch (Apple Watch)
1764171563400,75,Apple Watch (Apple Watch)
1764171568506,76,Apple Watch (Apple Watch)
1764171574870,76,Apple Watch (Apple Watch)
1764171578745,75,Apple Watch (Apple Watch)
1764171588976,75,Apple Watch (Apple Watch)
1764171594095,75,Apple Watch (Apple Watch)
1764171599217,74,Apple Watch (Apple Watch)
1764171604299,74,Apple Watch (Apple Watch)
1764171609300,73,Apple Watch (Apple Watch)
1764171614298,73,Apple Watch (Apple Watch)
1764171619297,73,Apple Watch (Apple Watch)
1764171624296,74,Apple Watch (Apple Watch)
1764172540385,80,Apple Watch (Apple Watch)
1764172544999,79,Apple Watch (Apple Watch)
1764172550371,71,Apple Watch (Apple Watch)
1764172555375,68,Apple Watch (Apple Watch)
1764172560374,67,Apple Watch (Apple Watch)
1764172565373,66,Apple Watch (Apple Watch)
1764172569229,67,Apple Watch (Apple Watch)
1764172579502,67,Apple Watch (Apple Watch)
1764172584578,69,Apple Watch (Apple Watch)
1764172594822,68,Apple Watch (Apple Watch)
1764172599833,68,Apple Watch (Apple Watch)
1764172609832,66,Apple Watch (Apple Watch)
1764172614874,67,Apple Watch (Apple Watch)
1764172619847,67,Apple Watch (Apple Watch)
1764172624853,84,Apple Watch (Apple Watch)
1764172629825,86,Apple Watch (Apple Watch)
1764172635365,85,Apple Watch (Apple Watch)
1764172640308,81,Apple Watch (Apple Watch)
1764172649822,75,Apple Watch (Apple Watch)
1764172654825,69,Apple Watch (Apple Watch)
1764172660362,65,Apple Watch (Apple Watch)
1764172663934,65,Apple Watch (Apple Watch)
1764172669047,65,Apple Watch (Apple Watch)
1764172675350,71,Apple Watch (Apple Watch)
1764172680353,68,Apple Watch (Apple Watch)
1764172684403,68,Apple Watch (Apple Watch)
1764172689516,67,Apple Watch (Apple Watch)
1764172699757,66,Apple Watch (Apple Watch)
1764172704889,69,Apple Watch (Apple Watch)
1764172709858,68,Apple Watch (Apple Watch)
1764172729852,80,Apple Watch (Apple Watch)
1764172734854,79,Apple Watch (Apple Watch)
1764172739855,74,Apple Watch (Apple Watch)
1764172744848,73,Apple Watch (Apple Watch)
1764172754827,73,Apple Watch (Apple Watch)
